month_year, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax 
21-Jul,"4,542","10,782","-3,612","11,712",318,"1,684","2,002.00",25,"2,172"
21-Aug,"4,892","9,063","-4,181","9,774",345,"1,895","2,240.00",30,"2,300"
21-Sep,"3,717","3,482","-2,527","4,672",240,"1,265","1,505.00",29,"2,032"
21-Oct,"4,837","14,973","-4,851","14,959",324,"1,465","1,789.00",29,"2,179"
21-Nov,"4,798","11,729","-4,115","12,412",321,"1,837","2,158.00",21,"2,030"
21-Dec,"4,568","9,598","-5,615","8,551",371,"1,647","2,018.00",26,"2,135"
22-Jan,"5,105","12,178","-3,406","13,877",362,"1,892","2,254.00",32,"2,005"
22-Feb,"4,931","9,201","-4,843","9,289",350,"1,657","2,007.00",73,"1,932"
22-Mar,"5,704","10,958","-5,117","11,545",354,"1,854","2,208.00",80,"2,329"
22-Apr,"5,121","9,709","-4,607","10,223",316,"1,843","2,159.00",93,"2,167"
22-May,"6,214","11,115","-5,721","11,608",288,"1,708","1,996.00",103,"2,031"
22-Jun,"5,378","8,881","-5,567","8,692",173,"1,926","2,099.00",117,"2,126"
22-Jul,"5,785","11,703","-4,999","12,489",182,"1,844","2,026.00",104,"2,231"
22-Aug,"5,621","9,320","-5,645","9,296",161,"1,737","1,898.00",111,"1,989"
22-Sep,"4,779","11,326","-4,607","11,498",121,"1,545","1,666.00",141,"2,082"
22-Oct,"5,179","8,791","-4,268","9,702",177,"1,602","1,779.00",133,"1,874"
22-Nov,"5,285","10,166","-5,041","10,410",206,"1,867","2,073.00",95,"1,960"
22-Dec,"5,765","8,930","-4,771","9,924",309,"3,154","3,463.00",84,
23-Jan,"5,285","12,439","-4,876","12,848",113,"1,686","1,799.00",95,"2,376"
23-Feb,"5,089","9,550","-5,559","9,080",168,"2,235","2,403.00",96,"2,064"
23-Mar,"5,496","10,131","-5,836","9,791",198,"2,272","2,470.00",79,"2,413"
23-Apr,"4,613","9,754","-3,610","10,757",126,"1,616","1,742.00",111,"2,079"
23-May,"5,650","10,107","-5,822","9,935",180,"2,302","2,482.00",23,"2,273"
23-Jun,"4,944","8,968","-5,492","8,420",110,"1,846","1,956.00",36,"2,491"
23-Jul,"5,355","10,957","-4,487","11,825",135,"2,097","2,232.00",21,"2,495"
23-Aug,"5,476","9,299","-5,376","9,399",105,"1,832","1,937.00",37,"2,423"
23-Sep,"4,544","11,084","-5,128","10,500",98,"1,344","1,442.00",32,"2,238"
23-Oct,"5,124","7,620","-3,949","8,795",127,"1,785","1,912.00",26,"1,915"
23-Nov,"4,526","9,658","-4,297","9,887",84,"1,170","1,254.00",28,"1,929"
23-Dec,"5,109","8,889","-5,158","8,840",301,"3,001","3,302.00",34,"2,110"
24-Jan,"4,513","12,388","-3,959","12,942",112,"1,634","1,746.00",29,"2,340"
24-Feb,"5,058","10,146","-4,538","10,666",105,"1,651","1,756.00",25,"2,262"
24-Mar,"5,069","11,064","-4,860","11,273",132,"1,697","1,829.00",26,"2,484"
24-Apr,"4,580","4,371","-4,021","4,930",92,"1,720","1,812.00",23,"2,256"
24-May,"5,180","16,587","-4,778","16,989",136,"2,127","2,263.00",24,"2,400"
24-Jun,"4,570","10,964","-5,227","10,307",118,"1,929","2,047.00",35,"2,496"
24-Jul,"5,756","11,739","-5,068","12,427",116,"2,212","2,328.00",28,"2,652"
24-Aug,"5,049","9,879","-4,770","10,158",125,"2,153","2,278.00",31,"2,580"
24-Sep,"5,382","12,032","-4,029","13,385",118,"1,997","2,115.00",25,"2,724"
24-Oct,"5,291","10,113","-3,738","11,666",122,"1,792","1,914.00",33,"2,423"
24-Nov,"5,145","11,439","-5,525","11,059",133,"1,988","2,121.00",29,"2,261"
24-Dec,"7,596",10103,"-4,941","12,758",452,5423,"5,875",38,2636
25-Jan,"5,292",16738,"-5,092","16,938",89,1300,"1,389",36,2542
25-Feb,"4,902",11354,"-5,354","10,902",97,1611,"1,708",18,2242
25-Mar,"5,913","11,896","-5,286","12,523",127,"2,294","2,421",56,"2,535"
25-Apr,"5,412","10,730","-5,068","11,074",128,"2,141","2,269",23,"2,400"
