month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
Sep-97,"5,835,314","-445,930","5,389,384.00","2,015,098","3,558,497","261,719","524,130","136,173","-4,048.00","908,586","453,057","-2,800.00","54,884","76,842","131,456","2,841,732","228,557","330,281","57,858","57,198","16,373","-102,264.00","-229,151.00","-198,736.00","-6,641","-7,250"
Oct-97,"5,007,484","-220,639","4,786,845.00","1,563,257","3,250,756","193,472","331,133","116,417","-5,922.00","897,119","225,884","-1,374.00","52,502","54,841","88,121","2,562,972","197,359","293,075","68,691","56,974","17,541","-49,600.00","-97,355.00","-114,189.00","-3,839","-2,095"
Nov-97,"5,388,699","-536,863","4,851,836.00","1,626,562","3,552,127","210,012","518,743","113,228","-5,942.00","786,808","216,684","-2,959.00","43,746","69,497","98,088","2,783,612","267,969","297,122","62,056","63,468","12,047","-47,377.00","-308,592.00","-207,418.00","-9,918","-9,976"
Dec-97,"4,818,841","-569,501","4,249,340.00","1,325,123","3,199,780","293,938","330,349","178,495","-4,600.00","533,958","288,518","-1,597.00","98,325","80,080","117,335","2,495,492","195,606","268,584","55,715","58,072","41,899","-18,259.00","-404,840.00","-154,274.00","-4,354","-3,439"
Jan-98,"6,033,577","-164,167","5,869,410.00","1,741,436","4,105,199","186,943","5,105","795,353","-2,421.00","33,810","910,329",-740,"34,619","56,313","96,872","3,143,923","277,677","434,385","56,932","95,981","18,811","-13,753.00","-115,128.00","-48,018.00",-83,-168
Feb-98,"4,365,423","-580,074","3,785,349.00","1,430,296","2,612,299","322,828","188,571","355,205","-6,999.00","347,239","557,139","-10,859.00","93,066","90,182","145,186","1,964,078","239,951","493,099","18,770","32,825","36,033","-259,985.00","-405,810.00","-151,128.00","-12,534","-8,106"
Mar-98,"7,264,539","-518,539","6,746,000.00","2,299,010","4,603,479","362,049","617,693","168,941","-4,569.00","1,255,894","265,760","-4,709.00","141,846","96,269","126,314","2,993,876","963,230","403,664","87,690","56,859","9,429","-61,267.00","-383,377.00","-110,612.00","-11,124","-9,762"
Apr-98,"5,661,148","-214,848","5,446,300.00","1,770,420","3,585,355","305,373","334,945","271,513","-3,113.00","893,092","276,255","-2,272.00","104,061","92,562","109,538","2,530,988","530,234","375,914","60,257","45,819","7,946","-55,926.00","-138,531.00","-60,136.00","-5,808","-6,413"
May-98,"6,059,766","-435,700","5,624,066.00","1,958,984","3,818,548","282,235","496,616","143,763","-4,500.00","883,697","441,799","-2,391.00","81,495","88,438","114,555","2,769,717","431,258","411,469","93,897","59,160","52,656","-98,567.00","-271,458.00","-147,172.00","-8,228","-6,347"
Jun-98,"5,095,826","-395,879","4,699,947.00","1,610,712","3,259,932","225,182","339,126","129,333","-6,877.00","948,104","223,874","-22,848.00","68,133","63,358","100,093","2,259,904","375,633","391,192","72,972","47,313","15,114",0,"-175,429.00","-201,195.00","-9,483","-6,124"
Jul-98,"6,672,313","-523,321","6,148,992.00","2,239,174","4,110,934","322,205","520,081","148,774","-3,396.00","901,472","675,127","-2,884.00","93,910","102,383","127,552","2,952,013","436,351","471,606","72,304","55,475","17,255","-2,326.00","-225,145.00","-275,385.00","-9,708","-5,906"
Aug-98,"5,003,633","-226,995","4,776,638.00","1,792,518","3,009,388","201,727","354,990","296,086","-1,890.00","870,653","273,559",-880,"54,079","47,955","100,293","2,123,338","357,808","293,010","74,550","45,157","55,006",-575,"-70,080.00","-138,972.00","-6,277","-3,936"
Sep-98,"5,716,296","-47,602","5,668,694.00","1,957,586","3,628,287","130,425","510,115","231,528","-4,105.00","965,729","254,534",-215,"22,473","57,619","50,341","2,708,394","372,216","319,074","81,261","60,658","15,647",-777,"-20,150.00","-27,234.00",-49,-134
Oct-98,"6,181,026","-253,617","5,927,409.00","1,520,630","4,398,959","261,436","347,183","118,040","-4,682.00","798,363","263,660","-1,934.00","68,734","75,964","120,141","3,081,338","326,165","677,304","92,750","56,557","20,152","-7,925.00","-127,971.00","-111,938.00","-8,254","-4,844"
Nov-98,"5,800,699","-921,179","4,879,520.00","1,757,955","3,637,065","405,679","528,238","136,909","-8,953.00","832,616","274,603","-5,458.00","149,000","101,090","159,719","2,747,922","281,785","376,458","82,307","60,120","20,517","-17,648.00","-556,808.00","-347,601.00","-6,269","-5,306"
Dec-98,"5,622,845","-744,505","4,878,340.00","1,563,899","3,726,839","332,107","340,827","157,047","-7,430.00","636,028","445,902","-8,475.00","92,851","87,415","153,624","2,720,132","297,128","402,393","87,651","65,381","69,935","-12,510.00","-455,295.00","-260,047.00","-14,035","-8,231"
Jan-99,"6,329,963","-416,200","5,913,763.00","1,687,880","4,317,070","325,013","5,191","678,773","-4,323.00","19,895","990,794","-2,450.00","111,502","85,167","129,729","3,104,235","394,695","507,778","75,620","94,454","37,571","-7,482.00","-261,335.00","-130,263.00","-7,098","-10,028"
Feb-99,"6,102,266","-539,823","5,562,443.00","1,822,770","3,912,272","367,223","349,093","215,736","-6,014.00","838,632","428,570","-3,247.00","119,378","106,763","143,323","2,961,786","321,617","386,127","80,920","51,739","22,038","-5,352.00","-388,969.00","-138,169.00","-4,657","-3,338"
Mar-99,"5,813,805","-667,987","5,145,818.00","1,827,263","3,705,328","281,214","481,894","190,531","-4,545.00","872,593","290,672","-3,882.00","64,215","77,145","140,673","2,797,389","316,199","364,844","79,694","54,842","21,126","-20,181.00","-555,089.00","-100,432.00","-5,937","-2,301"
Apr-99,"5,769,936","-280,516","5,489,420.00","1,721,330","3,817,241","231,364","353,075","123,346","-4,963.00","939,534","312,560","-2,222.00","79,164","58,360","96,110","2,886,658","376,433","330,847","82,891","55,918","19,311","-16,574.00","-198,045.00","-63,503.00","-8,938","-5,983"
May-99,"6,712,673","-310,387","6,402,286.00","2,033,990","4,419,822","258,861","532,466","225,771","-5,981.00","953,902","330,442","-2,610.00","57,305","84,995","118,978","3,484,795","314,568","295,915","146,625","58,540","35,025","-7,317.00","-168,122.00","-120,381.00","-11,809","-5,313"
Jun-99,"6,124,261","-565,552","5,558,709.00","2,167,054","3,661,045","296,162","361,741","310,925","-5,416.00","1,077,013","425,623","-2,832.00","53,308","90,316","154,056","2,712,433","314,554","285,251","105,374","54,729","116,187","-10,678.00","-284,132.00","-266,369.00","-5,261","-4,296"
