month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
3-Feb,"7,089,012","-744,465","6,344,547.00","1,980,192","4,713,466","395,355","226,103","271,681","-4,476.00","897,143","592,024","-2,283.00","18,119","172,788","176,605","3,863,442","254,752","554,129","97,951","61,173","29,327","-338,079.00","-508,497.00","-193,426.00","-9,989","-16,580"
3-Mar,"7,233,888","-524,740","6,709,148.00","2,109,429","4,901,420","223,039","424,145","248,157","-4,483.00","962,425","484,672","-5,487.00","15,704","94,271","121,359","3,816,222","242,962","519,556","121,245","73,072","12,483","-93,388.00","-349,667.00","-139,901.00","-6,272","-6,215"
3-Apr,"6,350,270","-348,810","6,001,460.00","1,720,213","4,465,717","164,340","226,380","152,595","-1,980.00","1,033,712","311,622","-2,116.00","10,614","50,931","97,446","3,518,759","182,573","384,359","106,420","65,158","6,791","-5,037.00","-252,122.00","-71,602.00","-6,034","-3,574"
3-May,"7,098,745","-525,271","6,573,474.00","2,139,822","4,792,198","166,725","438,139","344,177","-15,612.00","1,123,273","258,298","-8,453.00","15,781","49,833","95,001","3,721,948","207,681","476,676","103,242","76,757","10,288","-23,961.00","-372,677.00","-119,745.00","-11,547","-7,197"
3-Jun,"6,457,278","-480,980","5,976,298.00","1,981,383","4,253,139","222,757","231,641","203,382","-7,504.00","1,248,760","308,401","-3,297.00","17,598","70,439","127,061","3,095,910","203,457","464,769","105,128","150,861","22,157","-16,544.00","-153,451.00","-287,347.00","-12,030","-7,210"
3-Jul,"7,816,055","-613,633","7,202,422.00","2,498,586","5,049,252","268,218","454,496","394,066","-5,152.00","1,290,189","369,319","-4,332.00","14,061","87,551","154,779","3,593,671","540,774","482,309","121,385","72,946","10,465","-18,893.00","-244,244.00","-329,153.00","-13,715","-7,344"
3-Aug,"6,972,344","-649,972","6,322,372.00","2,389,401","4,326,773","256,170","249,848","545,642","-4,128.00","1,224,187","376,355","-2,503.00","10,019","88,346","155,553","3,108,135","221,292","583,952","106,936","71,821","13,270","-24,305.00","-331,583.00","-286,550.00","-8,108","-5,770"
3-Sep,"7,170,526","-628,780","6,541,746.00","2,208,615","4,710,926","250,986","463,683","183,229","-2,960.00","1,182,218","385,079","-2,634.00","14,013","78,475","151,473","3,532,954","302,807","453,318","103,174","79,803","4,282","-13,547.00","-301,460.00","-295,506.00","-13,512","-4,803"
3-Oct,"6,652,486","-386,546","6,265,940.00","2,033,924","4,455,021","163,541","227,324","188,433","-3,983.00","1,292,295","332,106","-2,251.00","6,504","43,105","110,462","3,384,061","179,398","479,390","105,518","66,391","5,550","-13,173.00","-171,436.00","-191,385.00","-12,749","-4,482"
3-Nov,"6,783,495","-396,334","6,387,161.00","1,996,444","4,614,810","172,242","441,244","186,555","-2,648.00","1,133,541","252,506","-14,754.00","5,587","46,962","112,688","3,672,792","227,253","520,551","90,473","67,907","6,707","-209,925.00","-212,740.00","-156,546.00","-8,676","-4,377"
3-Dec,"6,190,146","-647,031","5,543,115.00","1,580,955","4,411,330","197,860","215,128","164,209","-7,063.00","807,574","405,068","-3,961.00","12,147","55,135","119,042","3,266,898","237,988","514,874","96,579","70,807","8,288","-49,469.00","-449,312.00","-175,467.00","-4,688","-4,201"
4-Jan,"7,484,584","-564,150","6,920,434.00","1,983,680","5,239,621","261,283","3,201","647,863","-5,033.00","33,590","1,311,699","-7,640.00","7,721","74,181","154,506","3,738,511","296,760","536,060","97,805","124,613","24,134","-41,996.00","-322,706.00","-210,370.00","-5,293","-4,112"
4-Feb,"8,157,028","-628,105","7,528,923.00","2,440,477","5,306,171","410,381","216,044","278,332","-6,201.00","1,100,003","880,067","-27,768.00","10,487","148,844","213,561","3,865,049","269,625","661,427","104,456","64,466","22,506","-24,192.00","-412,331.00","-186,524.00","-5,949","-3,743"
4-Mar,"8,031,894","-829,527","7,202,367.00","2,777,246","4,937,287","317,361","437,871","228,892","-3,227.00","1,141,817","981,580","-9,687.00","10,718","105,603","186,851","3,767,546","373,225","643,038","103,845","68,768","24,940","-323,249.00","-622,730.00","-172,315.00","-10,094","-4,615"
4-Apr,"7,074,427","-482,990","6,591,437.00","2,343,411","4,469,483","261,533","240,404","201,858","-3,457.00","1,331,792","574,584","-1,770.00","11,214","77,726","161,313","3,333,042","228,495","486,735","113,626","62,719","6,780","-15,781.00","-356,407.00","-102,642.00","-5,132","-3,767"
4-May,"7,326,785","-477,199","6,849,586.00","2,348,798","4,676,075","301,911","466,736","221,842","-4,420.00","1,130,869","535,810","-2,039.00","11,694","89,937","185,880","3,573,971","216,403","532,126","137,634","73,307","8,486","-127,282.00","-283,343.00","-160,488.00","-12,567","-4,100"
4-Jun,"6,640,058","-778,290","5,861,768.00","2,223,174","4,081,746","335,138","243,997","206,719","-5,112.00","1,298,005","493,724","-14,159.00","14,431","106,512","199,997","3,030,193","194,984","478,826","104,183","67,754","6,486","-20,956.00","-362,791.00","-373,243.00","-11,072","-12,772"
4-Jul,"7,887,461","-801,687","7,085,774.00","2,540,698","4,950,935","395,829","492,137","261,823","-8,223.00","1,363,589","437,225","-5,853.00","27,838","118,338","225,703","3,772,855","216,080","530,405","120,564","79,803","6,362","-18,898.00","-413,368.00","-344,516.00","-9,566","-6,451"
4-Aug,"6,857,410","-682,686","6,174,724.00","2,206,189","4,270,124","381,096","262,756","221,285","-4,165.00","1,311,819","418,135","-3,641.00","22,579","116,510","219,174","3,114,766","224,290","500,110","92,891","73,560","38,464","-26,912.00","-285,150.00","-360,692.00","-8,320","-5,025"
4-Sep,"7,394,628","-469,115","6,925,513.00","2,632,500","4,464,369","297,758","505,298","186,380","-2,551.00","1,396,033","553,066","-5,726.00","12,976","87,886","178,256","3,335,714","217,978","473,274","102,633","68,374","7,481","-8,507.00","-175,602.00","-271,384.00","-7,435","-2,879"
4-Oct,"6,784,471","-436,426","6,348,045.00","2,265,905","4,169,962","348,604","232,746","205,476","-4,826.00","1,345,379","551,784","-64,654.00","12,682","153,985","159,734","3,216,664","174,188","495,820","91,059","73,507","9,005","-107,894.00","-169,645.00","-244,910.00","-7,693","-6,001"
4-Nov,"7,277,169","-593,229","6,683,940.00","2,567,821","4,404,609","304,738","481,927","179,467","-4,769.00","1,302,573","629,746","-21,123.00","14,622","106,545","163,213","3,282,226","204,162","491,710","97,684","83,859","12,031","-13,213.00","-264,517.00","-303,909.00","-6,458","-6,467"
4-Dec,"6,650,952","-711,977","5,938,975.00","1,912,227","4,385,541","353,184","245,560","216,753","-4,630.00","834,044","624,071","-3,571.00","15,514","121,554","194,622","3,221,393","230,741","517,430","96,050","79,095","12,535","-17,241.00","-405,667.00","-260,162.00","-9,007","-9,261"
5-Jan,"8,925,754","-551,358","8,374,396.00","2,901,842","5,645,039","378,872","3,921","908,411","-4,369.00","145,803","1,852,128","-4,052.00","18,039","127,797","209,898","4,195,048","279,460","625,482","105,962","134,746","13,131","-38,330.00","-285,239.00","-198,121.00","-11,271","-6,687"
5-Feb,"7,701,864","-698,994","7,002,870.00","2,609,215","4,708,929","383,719","206,674","311,955","-5,310.00","1,209,655","890,160","-3,919.00","11,433","132,337","207,771","3,407,320","201,121","578,253","96,767","65,561","11,850","-10,102.00","-484,733.00","-179,901.00","-7,771","-5,951"
5-Mar,"8,295,235","-475,885","7,819,350.00","3,224,417","4,701,389","369,428","467,935","412,917","-6,363.00","1,479,451","873,102","-2,625.00","27,229","115,544","203,281","3,429,424","233,753","511,459","111,565","69,750","41,466","-16,699.00","-265,318.00","-164,091.00","-12,188","-9,395"
5-Apr,"7,403,889","-358,231","7,045,658.00","2,660,596","4,260,546","482,746","232,519","243,999","-5,266.00","1,500,927","693,998","-5,581.00","48,890","171,867","220,755","3,083,428","209,487","502,762","106,383","67,949","8,164","-41,273.00","-237,449.00","-101,140.00","-3,519","-5,668"
5-May,"8,337,722","-407,998","7,929,724.00","2,554,198","5,119,408","664,115","517,963","237,036","-5,468.00","1,359,693","449,984","-5,010.00","81,135","279,700","261,037","3,892,629","216,529","521,371","151,733","73,886","11,558","-31,819.00","-171,147.00","-213,501.00","-3,814","-2,926"
5-Jun,"7,590,231","-575,883","7,014,348.00","2,758,894","4,358,183","473,154","247,267","288,102","-10,529.00","1,693,786","548,628","-8,360.00","36,742","203,611","217,259","3,011,534","262,307","554,206","159,383","67,379","37,874","-23,269.00","-180,434.00","-337,908.00","-23,554","-11,590"
5-Jul,"8,293,059","-686,581","7,606,478.00","2,852,158","5,072,509","368,391","538,762","225,899","-9,144.00","1,498,004","606,155","-7,518.00","18,502","117,109","222,593","3,741,700","199,241","608,433","138,421","75,399","9,423","-15,494.00","-280,811.00","-371,689.00","-8,439","-7,460"
5-Aug,"7,821,490","-666,230","7,155,260.00","2,725,252","4,668,386","427,853","286,152","352,830","-6,224.00","1,553,492","544,813","-5,811.00","17,339","139,904","247,508","3,353,671","216,485","662,374","120,651","76,345","10,356","-49,404.00","-250,235.00","-378,842.00","-10,394","-13,714"
5-Sep,"8,609,508","-899,982","7,709,526.00","3,422,557","4,776,915","410,036","597,431","308,659","-11,323.00","1,636,330","895,185","-3,725.00","15,112","137,196","238,811","3,590,669","249,641","595,145","121,470","74,493","10,095","-179,225.00","-252,561.00","-318,688.00","-7,826","-5,600"
5-Oct,"7,485,496","-284,010","7,201,486.00","2,584,141","4,598,103","303,252","265,228","172,935","-2,685.00","1,619,026","531,268","-1,631.00","26,451","94,789","163,917","3,458,115","188,796","613,406","118,781","73,607","12,434","-168,780.00","-98,669.00","-169,849.00","-4,108","-3,237"
5-Nov,"8,097,240","-524,691","7,572,549.00","2,982,737","4,687,442","427,061","514,445","259,162","-5,679.00","1,817,660","406,929","-9,780.00","43,595","135,125","226,228","3,367,234","297,793","520,376","113,659","83,197","51,808","-16,570.00","-231,722.00","-256,689.00","-15,471","-8,881"
5-Dec,"7,071,962","-1,131,702","5,940,260.00","2,091,347","4,604,406","376,208","241,081","226,128","-5,043.00","915,452","717,144","-3,415.00","16,103","178,265","193,006","3,301,991","238,793","551,125","104,545","86,575","38,033","-11,728.00","-798,726.00","-300,485.00","-8,948","-7,742"
6-Jan,"10,450,197","-474,068","9,976,129.00","3,688,148","6,342,020","420,028","12,043","1,035,609","-8,026.00","98,600","2,556,761","-6,839.00","16,905","141,358","235,880","3,999,101","350,862","575,597","225,974","152,314",0,"-40,440.00","-237,679.00","-188,973.00","-9,945","-5,689"
6-Feb,"9,358,951","-442,619","8,916,332.00","3,809,526","5,071,524","477,900","249,259","472,871","-4,054.00","1,555,208","1,574,596","-38,354.00","13,996","187,858","240,034","3,475,282","324,615","572,966","177,386","72,562",0,"-9,281.00","-239,144.00","-149,109.00","-11,096","-5,628"
6-Mar,"9,130,679","-475,537","8,655,142.00","3,413,107","5,225,869","491,704","517,707","288,671","-4,988.00","1,627,089","1,001,783","-17,155.00","20,326","172,349","272,786","3,823,069","233,697","553,696","169,561","67,816","40,990","-32,557.00","-270,393.00","-131,564.00","-10,142","-10,413"
6-Apr,"9,441,985","-434,018","9,007,967.00","4,125,386","4,913,873","402,727","267,355","631,781","-3,272.00","2,582,116","652,603","-5,197.00","10,179","145,693","219,780","3,479,853","296,940","523,729","188,723","77,775",0,"-5,328.00","-317,448.00","-83,584.00","-4,585","-3,063"
6-May,"3,895,956","-757,202","3,138,754.00","3,408,743",0,"487,213","633,051","405,524","-4,728.00","1,763,475","635,751","-24,330.00","8,698","150,161","287,254",0,0,0,0,0,0,0,"-514,364.00","-223,220.00","-9,841","-7,531"
6-Jun,"7,793,106","-709,203","7,083,903.00","2,925,866","4,502,793","364,448","282,689","315,018","-4,439.00","1,679,304","677,333","-24,039.00","11,469","114,921","206,718","3,017,461","307,736","545,670","177,474","78,644",0,"-24,739.00","-333,134.00","-340,901.00","-9,655","-5,781"
6-Jul,"8,959,017","-647,930","8,311,087.00","3,140,466","5,270,500","548,050","607,219","363,178","-6,785.00","1,648,604","531,213","-2,963.00","7,665","196,123","297,392","3,793,465","244,117","652,737","138,804","75,317","53,028","-12,802.00","-224,675.00","-378,367.00","-14,170","-9,586"
6-Aug,"11,566,319","-625,726","10,940,593.00","6,467,350","4,580,184","518,787","304,350","297,377","-5,957.00","1,713,881","4,162,368","-4,669.00","5,993","174,820","293,960","3,349,260","220,455","479,464","128,622","72,484","15,519","-11,044.00","-259,446.00","-326,099.00","-9,573","-10,693"
6-Sep,"8,678,912","-651,594","8,027,318.00","2,980,430","5,373,980","324,501","572,444","235,115","-4,914.00","1,823,073","357,412","-2,700.00","4,043","107,521","191,481","3,892,574","415,665","492,767","133,462","82,025","52,978","-5,237.00","-318,683.00","-301,853.00","-10,742","-3,897"
6-Oct,"7,562,916","-450,291","7,112,625.00","2,511,540","4,732,159","319,218","274,999","234,685","-10,354.00","1,697,152","318,813","-3,755.00","6,356","109,744","185,787","3,402,035","330,520","500,292","115,518","82,186","26,868","-7,641.00","-205,130.00","-219,712.00","-4,399","-2,369"
6-Nov,"9,310,512","-913,137","8,397,375.00","3,850,688","5,048,403","411,421","583,950","332,808","-4,078.00","1,976,975","963,981","-2,948.00","6,691","170,223","206,836","3,671,251","496,108","494,054","107,731","89,750","17,506","-178,190.00","-524,944.00","-316,346.00","-38,385","-18,376"
6-Dec,"7,699,522","-786,155","6,913,367.00","2,161,637","5,103,046","434,839","294,037","302,824","-4,187.00","1,114,615","459,121","-4,773.00","6,948","163,984","234,924","3,480,966","435,392","481,500","116,653","94,596","67,128","-12,030.00","-476,038.00","-258,768.00","-20,271","-7,807"
7-Jan,"11,552,158","-486,978","11,065,180.00","4,827,728","6,146,139","578,291","57,237","1,064,634","-4,850.00","46,445","3,667,396","-3,134.00","7,541","253,847","273,294","4,170,065","697,459","518,817","139,248","153,976","20,628","-36,823.00","-220,649.00","-178,332.00","-26,896","-12,567"
7-Feb,"9,967,401","-474,689","9,492,712.00","4,161,021","5,311,802","494,577","272,703","469,432","-18,749.00","1,745,188","1,697,254","-4,807.00","8,398","205,401","243,270","3,704,796","332,723","533,335","126,642","64,287","18,935","-4,980.00","-251,961.00","-136,588.00","-22,109","-7,063"
7-Mar,"10,053,636","-598,297","9,455,339.00","3,698,583","5,853,630","501,423","522,189","352,259","-4,091.00","1,828,844","1,011,916","-12,534.00","4,391","185,425","277,645","3,879,978","679,131","509,725","161,466","83,461",0,"-24,123.00","-422,353.00","-112,211.00","-15,959","-10,020"
7-Apr,"9,426,544","-354,498","9,072,046.00","3,669,887","5,396,155","360,502","296,918","560,975","-8,438.00","2,142,290","683,404","-5,262.00","5,678","127,469","200,893","3,815,496","337,786","492,979","139,494","78,886","111,644","-61,917.00","-217,261.00","-82,467.00","-15,670","-19,566"
7-May,"9,725,028","-1,184,177","8,540,851.00","3,359,646","5,770,406","594,975","611,423","375,077","-8,229.00","1,912,611","476,583","-7,819.00","8,122","243,999","293,432","4,011,726","460,360","497,259","197,505","76,159","32,214","-11,137.00","-939,254.00","-193,098.00","-13,534","-9,767"
7-Jun,"8,915,420","-562,570","8,352,850.00","3,314,691","5,157,414","443,316","361,126","362,770","-5,852.00","2,081,913","518,197","-3,463.00","7,810","152,501","245,167","3,398,017","414,895","516,112","165,607","68,031","55,636","-6,056.00","-184,293.00","-315,392.00","-25,311","-14,503"
7-Jul,"10,387,408","-675,879","9,711,529.00","3,718,237","6,119,776","549,396","685,363","366,808","-20,513.00","2,121,900","568,290","-3,611.00","7,329","204,936","299,869","4,223,792","440,838","653,845","136,859","75,923","35,686","-13,315.00","-244,378.00","-359,730.00","-28,193","-19,392"
7-Aug,"9,557,876","-697,745","8,860,131.00","3,590,293","5,381,309","586,274","340,249","383,956","-4,109.00","2,062,696","816,099","-8,598.00","5,067","220,386","307,119","3,663,320","414,326","533,044","154,895","79,720",4,"-5,583.00","-280,758.00","-369,158.00","-11,511","-11,243"
7-Sep,"9,404,483","-477,885","8,926,598.00","3,228,266","5,658,160","518,059","625,739","304,418","-3,367.00","1,933,034","371,869","-3,427.00","6,160","168,528","316,223","3,998,903","393,979","531,867","128,662","80,484","74,315","-10,002.00","-187,426.00","-262,279.00","-7,407","-6,124"
7-Oct,"8,571,853","-575,552","7,996,301.00","3,037,558","5,066,021","468,273","316,427","312,217","-5,119.00","2,057,115","362,859","-5,941.00","4,795","206,438","242,058","3,606,456","436,836","468,850","112,055","72,459","26,834","-7,507.00","-255,940.00","-285,016.00","-10,740","-5,707"
7-Nov,"9,135,984","-858,368","8,277,616.00","3,224,872","5,458,589","452,524","635,617","362,809","-35,604.00","1,749,722","517,690","-5,362.00","3,182","199,312","230,229","3,842,483","433,091","534,160","131,908","79,195","9,891","-7,716.00","-516,861.00","-314,461.00","-8,125","-3,444"
7-Dec,"8,030,055","-911,595","7,118,460.00","2,270,409","5,200,742","558,904","318,843","305,216","-2,934.00","1,193,689","459,159","-3,564.00","3,744","239,294","301,800","3,409,679","594,797","513,014","166,298","101,788",0,"-6,146.00","-577,452.00","-291,616.00","-9,494","-17,113"
8-Jan,"10,485,385","-647,836","9,837,549.00","3,541,478","6,332,167","611,741","7,419","1,089,761","-5,025.00","39,586","2,412,591","-2,854.00","3,252","253,141","335,510",4194919,"802,694","586,441","159,674","163,721",0,"-6,364.00","-367,276.00","-226,326.00","-11,669","-8,360"
8-Feb,"9,668,888","-488,989","9,179,899.00","3,758,477","5,432,435","477,976","285,990","432,481","-4,483.00","1,836,971","1,212,768","-5,250.00","5,731","193,443","264,245",3742373,"537,725","576,482","167,919","77,399",0,"-10,575.00","-275,360.00","-168,096.00","-10,079","-6,001"
8-Mar,"8,860,863","-509,456","8,351,407.00","3,290,742","5,126,682","443,441","563,276","297,532","-6,579.00","1,920,957","518,830","-3,274.00","3,789","166,685","264,747",3593498,"528,392","536,047","163,574","79,068",0,"-10,613.00","-319,197.00","-142,763.00","-8,014","-10,805"
8-Apr,"8,974,366","-375,132","8,599,234.00","3,294,217","5,219,790","460,359","397,923","307,527","-12,588.00","1,867,678","737,386","-3,709.00","6,114","190,967","256,135",3650061,"539,657","594,904","142,772","78,222",0,"-15,536.00","-252,089.00","-98,251.00","-3,218","-2,218"
8-May,"9,472,075","-673,039","8,799,036.00","3,341,978","5,610,529","519,568","646,686","294,277","-7,695.00","1,813,098","608,423","-12,811.00","6,652","241,273","268,746",3866543,"724,498","573,808","192,650","80,217",0,"-30,978.00","-397,323.00","-213,048.00","-16,936","-17,726"
8-Jun,"8,337,462","-1,203,877","7,133,585.00","2,980,509","4,893,460","463,493","334,251","316,341","-5,150.00","1,843,832","497,857","-6,622.00","4,854","217,364","235,930",3272601,"503,691","604,874","240,637","76,878","31,286","-27,037.00","-851,220.00","-307,621.00","-10,098","-6,229"
8-Jul,"9,572,181","-841,590","8,730,591.00","3,286,404","5,660,396","625,380","666,867","386,858","-4,452.00","1,675,675","570,177","-8,721.00","7,048","307,209","304,217",3943370,"333,543","763,104","151,953","81,260","214,685","-20,954.00","-410,303.00","-382,776.00","-18,583","-5,954"
8-Aug,"8,564,149","-1,057,563","7,506,586.00","3,114,687","4,942,316","507,148","365,265","258,032","-3,792.00","1,767,523","732,019","-4,360.00","6,643","195,368","302,839",3409247,"289,141","606,823","181,567","85,449","171,912","-9,228.00","-602,921.00","-336,978.00","-28,812","-7,569"
8-Sep,"8,750,071","-959,320","7,790,751.00","3,272,467","5,022,530","455,073","654,204","306,801","-2,814.00","1,695,377","622,367","-3,468.00","3,484","192,116","254,174",3600979,"334,316","587,389","158,901","87,711","71,543","-22,284.00","-438,113.00","-332,808.00","-13,779","-8,427"
8-Oct,"7,647,964","-483,273","7,164,691.00","2,504,582","4,759,743","383,638","327,367","313,794","-4,912.00","1,508,440","365,144","-5,251.00","3,710","162,378","197,920",3281993,"282,512","605,663","116,742","77,219","215,340","-10,021.00","-197,540.00","-199,851.00","-8,539","-3,883"
8-Nov,"7,895,058","-754,467","7,140,591.00","2,624,933","4,789,129","480,998","619,203","257,871","-4,693.00","1,306,465","452,341","-6,254.00","3,153","214,660","259,857",3364404,"306,516","588,504","115,999","92,613","142,002","-16,808.00","-435,817.00","-268,175.00","-13,885","-5,021"
8-Dec,"7,360,515","-1,107,150","6,253,365.00","2,164,641","4,793,666","402,207","316,837","284,690","-5,043.00","1,119,466","455,511","-6,820.00","2,827","182,980","211,704",3270662,"290,028","611,374","163,990","87,248","279,108","-70,373.00","-762,567.00","-302,586.00","-15,491","-6,519"
9-Jan,"9,125,935","-881,277","8,244,658.00","3,064,462","5,738,637","322,836","15,160","983,799","-5,078.00","49,851","2,035,325","-14,595.00","3,493","128,129","189,385","3,749,652","412,641","637,637","183,735","146,306","488,005","-64,643.00","-565,489.00","-249,574.00","-23,614","-7,763"
9-Feb,"7,712,503","-745,328","6,967,175.00","2,739,110","4,633,146","340,247","291,921","374,749","-10,436.00","1,408,093","677,775","-2,992.00","5,406","161,598","174,363","3,218,025","290,766","614,101","178,123","65,316","61,283","-11,734.00","-531,742.00","-162,084.00","-14,085","-7,049"
9-Mar,"8,343,421","-1,305,566","7,037,855.00","3,080,107","4,934,233","329,082","568,296","400,922","-4,518.00","1,463,267","656,780","-4,640.00","2,837","145,916","179,577","3,426,301","327,045","601,504","178,412","69,859","107,632","-6,112.00","-1,049,424.00","-190,947.00","-28,757","-8,719"
9-Apr,"9,231,359","-1,249,765","7,981,594.00","4,126,392","4,713,253","391,714","312,299","334,625","-3,576.00","3,040,602","447,846","-5,404.00","3,259","175,770","211,412","3,264,263","334,406","577,089","178,253","67,325","107,287","-6,273.00","-1,094,389.00","-119,415.00","-14,368","-3,212"
9-May,"8,148,763","-920,017","7,228,746.00","2,873,073","4,879,328","396,362","599,409","305,725","-4,494.00","1,495,530","486,120","-9,217.00","6,842","174,174","221,520","3,285,497","402,661","586,623","197,710","72,997","106,037","-11,040.00","-622,897.00","-245,722.00","-21,059","-11,156"
9-Jun,"7,351,808","-1,210,339","6,141,469.00","2,607,868","4,364,429","379,509","342,412","281,587","-4,677.00","1,446,723","547,488","-5,665.00","3,247","153,758","224,193","2,750,861","247,873","585,077","190,159","75,756","309,662","-6,539.00","-716,481.00","-424,027.00","-25,418","-14,635"
9-Jul,"9,062,942","-1,402,803","7,660,139.00","3,212,368","5,385,536","465,039","670,241","292,399","-5,842.00","1,758,156","515,165","-17,751.00","8,259","181,774","273,132","3,589,561","376,925","802,022","169,128","70,274","154,233","-9,711.00","-852,489.00","-509,637.00","-19,220","-7,283"
9-Aug,"8,008,355","-1,219,217","6,789,138.00","2,730,924","4,831,337","446,093","328,211","305,368","-3,157.00","1,691,904","416,976","-8,378.00","3,357","143,740","294,880","3,191,775","290,926","630,349","196,307","66,271","214,471","-4,317.00","-754,259.00","-418,538.00","-15,353","-6,668"
9-Sep,"8,253,583","-717,436","7,536,147.00","3,088,957","4,697,359","467,266","649,361","252,254","-4,644.00","1,711,644","488,340","-7,998.00","4,799","175,693","284,462","3,211,937","305,410","574,258","193,347","70,322","64,324","-3,837.00","-341,649.00","-341,528.00","-10,688","-5,342"
9-Oct,"7,922,307","-947,286","6,975,021.00","2,848,095","4,599,736","474,476","324,889","280,676","-4,004.00","1,910,039","342,607","-6,112.00","2,027","156,296","315,743","3,094,799","287,649","628,951","135,752","69,717","163,386","-6,496.00","-612,433.00","-299,354.00","-13,696","-4,670"
9-Nov,"8,749,486","-888,192","7,861,294.00","3,460,986","4,734,799","553,701","604,462","261,968","-4,816.00","2,157,262","449,883","-7,773.00","1,884","226,633","321,700","3,131,363","298,379","581,539","174,834","81,944","246,207","-5,759.00","-497,976.00","-323,047.00","-25,861","-15,414"
9-Dec,"7,924,255","-1,279,316","6,644,939.00","2,633,100","4,782,134","509,021","335,345","334,356","-4,031.00","1,360,495","613,816","-6,881.00","3,568","183,272","319,532","3,154,124","280,405","599,481","185,036","77,552","251,109","-4,710.00","-861,962.00","-374,481.00","-11,808","-7,005"
10-Jan,"9,751,750","-894,879","8,856,871.00","3,094,531","6,165,942","491,277","8,112","1,032,911","-5,392.00","1,228,639","2,320,670","-490,409.00","1,695","175,951","312,639","3,716,847","502,685","617,130","218,743","142,321","664,600","-17,688.00","-562,008.00","-284,065.00","-17,770","-9,236"
10-Feb,"8,729,828","-989,155","7,740,673.00","3,237,496","5,024,194","468,137","254,389","378,554","-2,939.00","1,703,418","932,455","-28,381.00","2,085","163,548","301,872","3,390,815","349,509","689,510","199,497","65,714","152,631","-163,884.00","-721,106.00","-228,942.00","-12,393","-4,516"
10-Mar,"8,996,361","-1,149,691","7,846,670.00","3,416,416","4,955,318","624,626","555,262","337,452","-3,394.00","1,847,628","685,975","-6,507.00","4,167","198,613","422,227","3,416,691","279,067","599,312","173,786","70,328","173,840","-3,898.00","-855,337.00","-229,776.00","-26,609","-13,143"
10-Apr,"8,985,935","-1,088,886","7,897,049.00","3,196,159","5,318,572","471,205","312,885","273,557","-5,934.00","2,139,577","480,874","-4,800.00","7,472","183,327","281,838","3,520,485","395,696","610,942","188,826","67,680","180,127","-35,949.00","-859,588.00","-176,826.00","-18,261","-11,580"
10-May,"9,179,759","-570,758","8,609,001.00","3,233,481","5,401,976","544,302","607,881","272,464","-4,098.00","1,981,143","436,546","-60,455.00","2,383","217,605","321,180","3,473,675","478,542","603,482","214,115","70,913","286,863","-9,936.00","-288,495.00","-233,132.00","-22,571","-9,546"
10-Jun,"8,217,466","-1,694,405","6,523,061.00","2,806,245","4,819,579","591,641","302,819","287,624","-9,411.00","1,795,045","433,351","-3,183.00","5,057","223,354","362,287","2,944,625","322,263","605,444","249,853","67,245","402,101","-4,712.00","-812,982.00","-442,180.00","-14,805","-8,270"
10-Jul,"10,380,438","-1,395,916","8,984,522.00","3,590,183","5,974,415","815,838","631,801","324,704","-2,547.00","2,063,118","577,974","-4,867.00","8,260","431,963","376,992","3,716,939","388,179","881,016","176,949","76,183","504,592","-6,720.00","-832,628.00","-496,183.00","-29,364","-11,727"
10-Aug,"8,658,466","-1,411,209","7,247,257.00","2,981,904","5,008,877","667,685","326,990","308,526","-3,728.00","1,920,876","433,712","-4,472.00","5,384","281,764","380,326","3,279,767","355,222","675,060","213,454","70,743","296,463","-53,393.00","-767,031.00","-584,111.00","-21,500","-8,278"
10-Sep,"8,798,589","-844,395","7,954,194.00","3,130,785","5,163,016","504,788","636,272","206,764","-6,197.00","1,925,254","377,480","-8,788.00","2,311","198,511","304,161","3,413,930","339,504","639,454","151,687","65,888","323,646","-3,706.00","-474,260.00","-327,780.00","-19,333","-6,641"
10-Oct,"8,728,346","-763,664","7,964,682.00","2,897,588","5,261,402","569,356","290,208","247,531","-4,508.00","1,987,068","383,794","-6,505.00","2,412","205,981","362,922","3,201,133","304,572","626,583","210,853","75,785","615,344","-4,309.00","-329,803.00","-376,358.00","-28,562","-10,810"
10-Nov,"9,025,711","-796,941","8,228,770.00","3,401,275","5,075,628","548,807","620,730","314,348","-2,765.00","2,135,196","338,342","-4,576.00","7,410","199,405","337,021","3,294,222","402,068","608,343","173,905","76,158","253,709","-13,134.00","-388,158.00","-365,090.00","-17,706","-7,549"
10-Dec,"8,645,658","-1,564,596","7,081,062.00","2,893,256","5,113,932","638,470","312,780","345,241","-2,924.00","1,551,812","695,359","-9,012.00","6,550","244,475","392,716","3,275,888","360,711","673,577","188,045","78,968","288,419","-7,574.00","-1,010,211.00","-470,780.00","-30,021","-10,813"
