, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax ,,,
Feb-14," 3,604 "," 5,249 "," (2,880)"," 5,973 ", 254 ," 1,274 "," 1,528.0 ", 29 ," 1,667 ",,,
Mar-14," 3,683 "," 6,840 "," (2,640)"," 7,883 ", 218 ," 1,329 "," 1,547.0 ", 27 ," 1,841 ",,,
Apr-14," 3,549 "," 4,896 "," (2,304)"," 6,141 ", 198 ," 1,314 "," 1,512.0 ", 31 ," 1,737 ",,,
May-14," 3,800 "," 7,364 "," (3,136)"," 8,028 ", 246 ," 1,455 "," 1,701.0 ", 35 ," 1,798 ",,,
Jun-14," 3,567 "," 4,828 "," (2,474)"," 5,921 ", 231 ," 1,301 "," 1,532.0 ", 35 ," 1,905 ",,,
Jul-14," 4,013 "," 6,863 "," (3,195)"," 7,681 ", 240 ," 1,395 "," 1,635.0 ", 26 ," 1,835 ",,,
Aug-14," 3,781 "," 5,362 "," (2,985)"," 6,158 ", 234 ," 1,520 "," 1,754.0 ", 36 ," 1,840 ",,,
Sep-14," 3,538 "," 7,090 "," (2,454)"," 8,174 ", 233 ," 1,314 "," 1,547.0 ", 24 ," 1,865 ",,,
Oct-14," 3,738 "," 5,470 "," (2,748)"," 6,460 ", 237 ," 1,418 "," 1,655.0 ", 44 ," 1,783 ",,,
Nov-14," 3,421 "," 6,857 "," (2,697)"," 7,581 ", 184 ," 1,196 "," 1,380.0 ", 36 ," 1,868 ",,,
Dec-14," 4,485 "," 5,114 "," (3,099)"," 6,500 ", 255 ," 2,551 "," 2,806.0 ", 36 ,,,,
Jan-15," 3,411 "," 8,809 "," (3,122)"," 9,098 ", 236 ," 1,082 "," 1,318.0 ", 40 ," 1,818 ",,,
Feb-15," 3,272 "," 5,536 "," (2,775)"," 6,033 ", 231 ," 1,115 "," 1,346.0 ", 40 ," 1,754 ",,,
Mar-15," 4,097 "," 7,253 "," (2,844)"," 8,506 ", 302 ," 1,576 "," 1,878.0 ", 31 ," 1,915 ",,,
Apr-15," 3,390 "," 5,606 "," (2,607)"," 6,389 ", 176 ," 1,214 "," 1,390.0 ", 47 ," 1,902 ",,,
May-15," 3,645 "," 7,407 "," (2,839)"," 8,213 ", 234 ," 1,536 "," 1,770.0 ", 35 ," 2,028 ",,,
Jun-15," 3,771 "," 5,445 "," (3,090)"," 6,126 ", 267 ," 1,484 "," 1,751.0 ", 41 ," 1,880 ",,,
Jul-15," 3,812 "," 8,216 "," (3,411)"," 8,617 ", 247 ," 1,577 "," 1,824.0 ", 45 ," 2,037 ",,,
Aug-15," 3,766 "," 5,991 "," (2,334)"," 7,423 ", 325 ," 1,612 "," 1,937.0 ", 41 ," 2,087 ",,,
Sep-15," 2,909 "," 7,951 "," (2,451)"," 8,409 ", 201 ," 1,037 "," 1,238.0 ", 56 ," 1,936 ",,,
Oct-15," 3,551 "," 5,972 "," (2,925)"," 6,598 ", 279 ," 1,413 "," 1,692.0 ", 32 ," 1,815 ",,,
Nov-15," 3,306 "," 7,415 "," (3,262)"," 7,459 ", 202 ," 1,248 "," 1,450.0 ", 25 ," 2,018 ",,,
Dec-15," 3,742 "," 5,189 "," (3,054)"," 5,877 ", 179 ," 1,597 "," 1,776.0 ", 17 ," 1,797 ",,,
Jan-16," 3,278 "," 8,856 "," (2,790)"," 9,344 ", 275 ," 1,915 "," 2,190.0 ", 23 ," 2,008 ",,,
Feb-16," 3,448 "," 5,661 "," (3,027)"," 6,082 ", 294 ," 1,334 "," 1,628.0 ", 24 ," 1,851 ",,,
Mar-16," 3,751 "," 7,630 "," (3,176)"," 8,205 ", 262 ," 1,781 "," 2,043.0 ", 29 ," 1,941 ",,,
Apr-16," 3,152 "," 5,614 "," (3,079)"," 5,687 ", 202 ," 1,444 "," 1,646.0 ", 10 ," 1,851 ",,,
May-16," 4,041 "," 7,822 "," (2,688)"," 9,175 ", 316 ," 1,952 "," 2,268.0 ", 45 ," 2,075 ",,,
Jun-16," 3,687 "," 5,355 "," (2,803)"," 6,239 ", 271 ," 1,564 "," 1,835.0 ", 32 ," 2,113 ",,,
Jul-16," 3,659 "," 8,255 "," (3,242)"," 8,672 ", 278 ," 1,621 "," 1,899.0 ", 25 ," 2,139 ",,,
Aug-16," 4,019 "," 5,647 "," (2,971)"," 6,695 ", 316 ," 1,632 "," 1,948.0 ", 31 ," 2,080 ",,,
Sep-16," 3,694 "," 8,306 "," (2,947)"," 9,053 ", 310 ," 1,673 "," 1,983.0 ", 29 ," 2,102 ",,,
Oct-16," 3,043 "," 5,748 "," (1,905)"," 6,886 ", 203 ," 1,033 "," 1,236.0 ", 16 ," 1,915 ",,,
Nov-16," 3,497 "," 7,241 "," (2,245)"," 8,493 ", 258 ," 1,423 "," 1,681.0 ", 29 ," 1,962 ",,,
Dec-16," 4,320 "," 5,501 "," (4,414)"," 5,407 ", 312 ," 3,182 "," 3,494.0 ", 21 ," 1,998 ",,,
Jan-17," 3,602 "," 9,072 "," (3,394)"," 9,280 ", 267 ," 1,109 "," 1,376.0 ", 21 ," 2,068 ",,,
Feb-17," 3,302 "," 6,256 "," (2,802)"," 6,756 ", 260 ," 1,020 "," 1,280.0 ", 21 ," 1,863 ",,,
Mar-17," 3,720 "," 7,712 "," (3,411)"," 8,021 ", 248 ," 1,630 "," 1,878.0 ", 30 ," 2,110 ",,,
Apr-17," 3,250 "," 6,056 "," (1,841)"," 7,465 ", 217 ," 1,324 "," 1,541.0 ", 27 ," 2,016 ",,,
May-17," 3,660 "," 7,982 "," (3,348)"," 8,294 ", 289 ," 1,544 "," 1,833.0 ", 27 ," 2,026 ",,,
Jun-17," 3,432 "," 5,675 "," (3,464)"," 5,643 ", 247 ," 1,282 "," 1,529.0 ", 27 ," 2,158 ",,,
Jul-17," 3,700 "," 8,747 "," (2,945)"," 9,502 ", 280 ," 1,733 "," 2,013.0 ", 36 ," 2,275 ",,,
Aug-17," 3,906 "," 5,959 "," (2,840)"," 7,025 ", 302 ," 1,415 "," 1,717.0 ", 27 ," 2,197 ",,,
Sep-17," 3,337 "," 8,516 "," (2,342)"," 9,511 ", 222 ," 1,169 "," 1,391.0 ", 10 ," 1,967 ",,,
Oct-17," 3,672 "," 5,994 "," (3,197)"," 6,469 ", 226 ," 1,245 "," 1,471.0 ", 28 ," 2,242 ",,,
Nov-17," 3,425 "," 8,228 "," (3,666)"," 7,987 ", 225 ," 1,255 "," 1,480.0 ", 18 ," 2,160 ",,,
Dec-17," 3,863 "," 6,266 "," (3,173)"," 6,956 ", 234 ," 1,424 "," 1,658.0 ", 18 ," 2,104 ",,,
Jan-18," 3,951 "," 9,340 "," (3,155)"," 10,136 ", 263 ," 1,743 "," 2,006.0 ", 22 ," 1,936 ",,,
Feb-18," 3,911 "," 6,348 "," (2,946)"," 7,313 ", 235 ," 1,751 "," 1,986.0 ", 24 ," 1,796 ",,,
Mar-18," 4,092 "," 7,933 "," (4,172)"," 7,853 ", 245 ," 1,678 "," 1,923.0 ", 28 ," 2,037 ",,,
Apr-18," 3,795 "," 6,357 "," (2,499)"," 7,653 ", 195 ," 1,317 "," 1,512.0 ", 31 ," 2,047 ",,,
May-18," 4,080 "," 7,942 "," (3,119)"," 8,903 ", 257 ," 1,420 "," 1,677.0 ", 23 ," 2,076 ",,,
Jun-18," 3,866 "," 6,152 "," (3,119)"," 6,899 ", 235 ," 1,398 "," 1,633.0 ", 37 ," 2,040 ",,,
Jul-18," 4,415 "," 8,521 "," (3,515)"," 9,421 ", 262 ," 1,592 "," 1,854.0 ", 28 ," 2,233 ",,,
Aug-18," 4,186 "," 6,244 "," (3,256)"," 7,174 ", 270 ," 1,538 "," 1,808.0 ", 27 ," 2,317 ",,,
Sep-18," 3,029 "," 4,013 "," (1,724)"," 5,318 ", 146 ," 1,032 "," 1,178.0 ", 7 ," 1,926 ",,,
Oct-18," 4,310 "," 10,508 "," (3,646)"," 11,172 ", 235 ," 1,400 "," 1,635.0 ", 46 ," 2,068 ",,,
Nov-18," 3,893 "," 8,196 "," (3,584)"," 8,505 ", 198 ," 1,267 "," 1,465.0 ", 27 ," 2,012 ",,,
Dec-18," 3,982 "," 6,400 "," (2,853)"," 7,529 ", 252 ," 1,345 "," 1,597.0 ", 28 ," 2,041 ",,,
Jan-19," 4,219 "," 9,642 "," (3,493)"," 10,368 ", 277 ," 1,394 "," 1,671.0 ", 21 ," 1,966 ",,,
Feb-19," 4,047 "," 6,652 "," (3,611)"," 7,088 ", 277 ," 1,351 "," 1,628.0 ", 22 ," 1,876 ",,,
Mar-19," 4,663 "," 8,361 "," (3,507)"," 9,517 ", 305 ," 2,813 "," 3,118.0 ", 25 ," 2,158 ",,,
Apr-19," 3,934 "," 4,999 "," (2,974)"," 5,959 ", 231 ," 1,011 "," 1,242.0 ", 25 ," 1,998 ",,,
May-19," 3,875 "," 10,392 "," (4,175)"," 10,092 ", 236 ," 1,100 "," 1,336.0 ", 21 ," 2,189 ",,,
Jun-19," 3,714 "," 6,379 "," (3,243)"," 6,850 ", 223 ," 1,140 "," 1,363.0 ", 27 ," 2,134 ",,,
Jul-19," 4,545 "," 9,251 "," (3,206)"," 10,590 ", 249 ," 1,359 "," 1,608.0 ", 25 ," 2,300 ",,,
Aug-19," 3,969 "," 6,797 "," (3,947)"," 6,819 ", 232 ," 1,274 "," 1,506.0 ", 27 ," 2,229 ",,,
Sep-19," 3,456 "," 9,276 "," (2,946)"," 9,786 ", 209 ," 1,397 "," 1,606.0 ", 21 ," 2,267 ",,,
Oct-19," 3,767 "," 5,418 "," (2,605)"," 6,580 ", 236 ," 1,227 "," 1,463.0 ", 33 ," 1,937 ",,,
Nov-19," 3,477 "," 9,882 "," (3,362)"," 9,997 ", 209 ," 1,178 "," 1,387.0 ", 20 ," 2,038 ",,,
Dec-19," 4,473 "," 6,497 "," (3,798)"," 7,172 ", 340 ," 2,547 "," 2,887.0 ", 20 ," 2,140 ",,,
Jan-20," 3,961 "," 11,048 "," (3,881)"," 11,128 ", 252 ," 1,360 "," 1,612.0 ", 25 ," 2,080 ",,,
Feb-20," 3,302 "," 7,293 "," (3,514)"," 7,081 ", 230 ," 1,317 "," 1,547.0 ", 14 ," 1,865 ",,,
Mar-20," 3,863 "," 6,740 "," (4,000)"," 6,603 ", 212 ," 2,022 "," 2,234.0 ", 25 ," 1,970 ",,,
Apr-20," 3,036 "," 6,161 "," (2,113)"," 7,084 ", 173 , 624 , 797.0 , 21 ," 1,044 ",,,
May-20," 3,086 "," 7,989 "," (3,493)"," 7,582 ", 205 , 987 ," 1,192.0 ", 26 ," 1,679 ",,,
Jun-20," 3,589 "," 6,765 "," (3,578)"," 6,776 ", 227 ," 1,509 "," 1,736.0 ", 25 ," 1,900 ",,,
Jul-20," 3,698 "," 8,659 "," (3,261)"," 9,096 ", 252 ," 1,409 "," 1,661.0 ", 26 ," 2,141 ",,,
Aug-20," 3,574 "," 7,978 "," (3,033)"," 8,519 ", 225 ," 1,425 "," 1,650.0 ", 25 ," 2,136 ",,,
Sep-20," 3,454 "," 8,939 "," (2,720)"," 9,673 ", 236 ," 1,870 "," 2,106.0 ", 29 ," 2,022 ",,,
Oct-20," 3,545 "," 7,365 "," (3,279)"," 7,631 ", 237 ," 1,170 "," 1,407.0 ", 22 ," 1,566 ",,,
Nov-20," 3,636 "," 8,237 "," (3,122)"," 8,751 ", 256 ," 1,371 "," 1,627.0 ", 29 ," 2,022 ",,,
Dec-20," 4,751 "," 7,418 "," (3,285)"," 8,884 ", 378 ," 3,114 "," 3,492.0 ", 36 ," 1,922 ",,,
Jan-21," 3,910 "," 10,137 "," (3,338)"," 10,709 ", 271 ," 1,504 "," 1,775.0 ", 23 ," 1,715 ",,,
Feb-21," 3,943 "," 7,386 "," (3,525)"," 7,804 ", 274 ," 1,359 "," 1,633.0 ", 22 ," 1,596 ",,,
Mar-21," 4,595 "," 8,273 "," (4,165)"," 8,703 ", 310 ," 1,797 "," 2,107.0 ", 24 ," 1,880 ",,,
Apr-21," 4,362 "," 8,606 "," (3,089)"," 9,879 ", 295 ," 1,608 "," 1,903.0 ", 30 ," 1,950 ",,,
May-21," 4,206 "," 9,394 "," (3,265)"," 10,335 ", 286 ," 1,817 "," 2,103.0 ", 20 ," 1,978 ",,,
Jun-21," 4,533 "," 7,518 "," (4,089)"," 7,962 ", 329 ," 2,100 "," 2,429.0 ", 33 ," 2,107 ",,,
Jul-21," 4,542 "," 10,782 "," (3,612)"," 11,712 ", 318 ," 1,684 "," 2,002.0 ", 25 ," 2,172 ",,,
Aug-21," 4,892 "," 9,063 "," (4,181)"," 9,774 ", 345 ," 1,895 "," 2,240.0 ", 30 ," 2,300 ",,,
Sep-21," 3,717 "," 3,482 "," (2,527)"," 4,672 ", 240 ," 1,265 "," 1,505.0 ", 29 ," 2,032 ",,,
Oct-21," 4,837 "," 14,973 "," (4,851)"," 14,959 ", 324 ," 1,465 "," 1,789.0 ", 29 ," 2,179 ",,,
Nov-21," 4,798 "," 11,729 "," (4,115)"," 12,412 ", 321 ," 1,837 "," 2,158.0 ", 21 ," 2,030 ",,,
Dec-21," 4,568 "," 9,598 "," (5,615)"," 8,551 ", 371 ," 1,647 "," 2,018.0 ", 26 ," 2,135 ",,,
Jan-22," 5,105 "," 12,178 "," (3,406)"," 13,877 ", 362 ," 1,892 "," 2,254.0 ", 32 ," 2,005 ",,,
Feb-22," 4,931 "," 9,201 "," (4,843)"," 9,289 ", 350 ," 1,657 "," 2,007.0 ", 73 ," 1,932 ",,,
Mar-22," 5,704 "," 10,958 "," (5,117)"," 11,545 ", 354 ," 1,854 "," 2,208.0 ", 80 ," 2,329 ",,,
Apr-22," 5,121 "," 9,709 "," (4,607)"," 10,223 ", 316 ," 1,843 "," 2,159.0 ", 93 ," 2,167 ",,,
May-22," 6,214 "," 11,115 "," (5,721)"," 11,608 ", 288 ," 1,708 "," 1,996.0 ", 103 ," 2,031 ",,,
Jun-22," 5,378 "," 8,881 "," (5,567)"," 8,692 ", 173 ," 1,926 "," 2,099.0 ", 117 ," 2,126 ",,,
Jul-22," 5,785 "," 11,703 "," (4,999)"," 12,489 ", 182 ," 1,844 "," 2,026.0 ", 104 ," 2,231 ",,,
Aug-22," 5,621 "," 9,320 "," (5,645)"," 9,296 ", 161 ," 1,737 "," 1,898.0 ", 111 ," 1,989 ",,,
Sep-22," 4,779 "," 11,326 "," (4,607)"," 11,498 ", 121 ," 1,545 "," 1,666.0 ", 141 ," 2,082 ",,,
Oct-22," 5,179 "," 8,791 "," (4,268)"," 9,702 ", 177 ," 1,602 "," 1,779.0 ", 133 ," 1,874 ",,,
Nov-22," 5,285 "," 10,166 "," (5,041)"," 10,410 ", 206 ," 1,867 "," 2,073.0 ", 95 ," 1,960 ",,,
Dec-22," 5,765 "," 8,930 "," (4,771)"," 9,924 ", 309 ," 3,154 "," 3,463.0 ", 84 ,,,,
Jan-23," 5,285 "," 12,439 "," (4,876)"," 12,848 ", 113 ," 1,686 "," 1,799.0 ", 95 ," 2,376 ",,,
Feb-23," 5,089 "," 9,550 "," (5,559)"," 9,080 ", 168 ," 2,235 "," 2,403.0 ", 96 ," 2,064 ",,,
Mar-23," 5,496 "," 10,131 "," (5,836)"," 9,791 ", 198 ," 2,272 "," 2,470.0 ", 79 ," 2,413 ",,,
Apr-23," 4,613 "," 9,754 "," (3,610)"," 10,757 ", 126 ," 1,616 "," 1,742.0 ", 111 ," 2,079 ",,,
May-23," 5,650 "," 10,107 "," (5,822)"," 9,935 ", 180 ," 2,302 "," 2,482.0 ", 23 ," 2,273 ",,,
Jun-23," 4,944 "," 8,968 "," (5,492)"," 8,420 ", 110 ," 1,846 "," 1,956.0 ", 36 ," 2,491 ",,,
Jul-23," 5,355 "," 10,957 "," (4,487)"," 11,825 ", 135 ," 2,097 "," 2,232.0 ", 21 ," 2,495 ",,,
Aug-23," 5,476 "," 9,299 "," (5,376)"," 9,399 ", 105 ," 1,832 "," 1,937.0 ", 37 ," 2,423 ",,,
Sep-23," 4,544 "," 11,084 "," (5,128)"," 10,500 ", 98 ," 1,344 "," 1,442.0 ", 32 ," 2,238 ",,,
Oct-23," 5,124 "," 7,620 "," (3,949)"," 8,795 ", 127 ," 1,785 "," 1,912.0 ", 26 ," 1,915 ",,,
Nov-23," 4,526 "," 9,658 "," (4,297)"," 9,887 ", 84 ," 1,170 "," 1,254.0 ", 28 ," 1,929 ",,,
Dec-23," 5,109 "," 8,889 "," (5,158)"," 8,840 ", 301 ," 3,001 "," 3,302.0 ", 34 ," 2,110 ",,,
Jan-24," 4,513 "," 12,388 "," (3,959)"," 12,942 ", 112 ," 1,634 "," 1,746.0 ", 29 ," 2,340 ",,,
Feb-24," 5,058 "," 10,146 "," (4,538)"," 10,666 ", 105 ," 1,651 "," 1,756.0 ", 25 ," 2,262 ",,,
Mar-24," 5,069 "," 11,064 "," (4,860)"," 11,273 ", 132 ," 1,697 "," 1,829.0 ", 26 ," 2,484 ",,,
Apr-24," 4,580 "," 4,371 "," (4,021)"," 4,930 ", 92 ," 1,720 "," 1,812.0 ", 23 ," 2,256 ",,,
May-24," 5,180 "," 16,587 "," (4,778)"," 16,989 ", 136 ," 2,127 "," 2,263.0 ", 24 ," 2,400 ",,,
Jun-24," 4,570 "," 10,964 "," (5,227)"," 10,307 ", 118 ," 1,929 "," 2,047.0 ", 35 ," 2,496 ",,,
Jul-24," 5,756 "," 11,739 "," (5,068)"," 12,427 ", 116 ," 2,212 "," 2,328.0 ", 28 ," 2,652 ",,,
Aug-24," 5,049 "," 9,879 "," (4,770)"," 10,158 ", 125 ," 2,153 "," 2,278.0 ", 31 ," 2,580 ",,,
Sep-24," 5,382 "," 12,032 "," (4,029)"," 13,385 ", 118 ," 1,997 "," 2,115.0 ", 25 ," 2,724 ",,,
Oct-24," 5,291 "," 10,113 "," (3,738)"," 11,666 ", 122 ," 1,792 "," 1,914.0 ", 33 ," 2,423 ",,,
Nov-24," 5,145 "," 11,439 "," (5,525)"," 11,059 ", 133 ," 1,988 "," 2,121.0 ", 29 ," 2,261 ",,,
Dec-24," 7,596 ",10103," (4,941)"," 12,758 ",452,5423," 5,875 ",38,2636,,,
Jan-25," 5,292 ",16738," (5,092)"," 16,938 ",89,1300," 1,389 ",36,2542,,,
Feb-25," 4,902 ",11354," (5,354)"," 10,902 ",97,1611," 1,708 ",18,2242,,,
Mar-25," 5,913 "," 11,896 "," (5,286)"," 12,523 ",127,"2,294"," 2,421 ",56,"2,535",,,
Apr-25," 5,412 "," 10,730 "," (5,068)"," 11,074 ",128,"2,141"," 2,269 ",23,"2,400",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
