Unnamed: 0,Total gross income tax department,Total Refunds Income Tax Division,Total Income Tax Division Net,MK self -employed and companies (advances and cavalry),Deductions and the capital market,Real Estate Taxation,Independently promote,Independent tax differences,Independent cancellation,Companies promote,Tax difference companies,CPIs,Property tax,Praise tax,Purchase tax,A salary deduction,Goods and services,Sales Tax,VAT financial institutions (wages),Excess expenses,Bonds and diphoband,Deductions,Refunds of friendship,Refunds are independent,Appreciation tax refunds,Purchase Refunds
1998-07-01,6672313,-523321,6148992,2239174,4110934,322205,520081,148774,-3396,901472,675127,-2884,93910,102383,127552,2952013,436351,471606,72304,55475,17255,-2326,-225145,-275385,-9708,-5906
1998-08-01,5003633,-226995,4776638,1792518,3009388,201727,354990,296086,-1890,870653,273559,-880,54079,47955,100293,2123338,357808,293010,74550,45157,55006,-575,-70080,-138972,-6277,-3936
1998-09-01,5716296,-47602,5668694,1957586,3628287,130425,510115,231528,-4105,965729,254534,-215,22473,57619,50341,2708394,372216,319074,81261,60658,15647,-777,-20150,-27234,-49,-134
1998-10-01,6181026,-253617,5927409,1520630,4398959,261436,347183,118040,-4682,798363,263660,-1934,68734,75964,120141,3081338,326165,677304,92750,56557,20152,-7925,-127971,-111938,-8254,-4844
1998-11-01,5800699,-921179,4879520,1757955,3637065,405679,528238,136909,-8953,832616,274603,-5458,149000,101090,159719,2747922,281785,376458,82307,60120,20517,-17648,-556808,-347601,-6269,-5306
1998-12-01,5622845,-744505,4878340,1563899,3726839,332107,340827,157047,-7430,636028,445902,-8475,92851,87415,153624,2720132,297128,402393,87651,65381,69935,-12510,-455295,-260047,-14035,-8231
1999-01-01,6329963,-416200,5913763,1687880,4317070,325013,5191,678773,-4323,19895,990794,-2450,111502,85167,129729,3104235,394695,507778,75620,94454,37571,-7482,-261335,-130263,-7098,-10028
1999-02-01,6102266,-539823,5562443,1822770,3912272,367223,349093,215736,-6014,838632,428570,-3247,119378,106763,143323,2961786,321617,386127,80920,51739,22038,-5352,-388969,-138169,-4657,-3338
1999-03-01,5813805,-667987,5145818,1827263,3705328,281214,481894,190531,-4545,872593,290672,-3882,64215,77145,140673,2797389,316199,364844,79694,54842,21126,-20181,-555089,-100432,-5937,-2301
1999-04-01,5769936,-280516,5489420,1721330,3817241,231364,353075,123346,-4963,939534,312560,-2222,79164,58360,96110,2886658,376433,330847,82891,55918,19311,-16574,-198045,-63503,-8938,-5983
1999-05-01,6712673,-310387,6402286,2033990,4419822,258861,532466,225771,-5981,953902,330442,-2610,57305,84995,118978,3484795,314568,295915,146625,58540,35025,-7317,-168122,-120381,-11809,-5313
1999-06-01,6124261,-565552,5558709,2167054,3661045,296162,361741,310925,-5416,1077013,425623,-2832,53308,90316,154056,2712433,314554,285251,105374,54729,116187,-10678,-284132,-266369,-5261,-4296
1999-07-01,7205185,-732897,6472288,2299758,4582114,323314,532234,482430,-5374,1026217,269683,-5432,75401,102925,147039,3569950,338771,375295,108960,67044,32012,-16004,-423324,-292361,-5804,-6515
1999-08-01,6273720,-572022,5701698,1817429,4045610,410682,389926,210944,-4153,988304,233810,-1402,157035,86733,168547,3115631,309025,329899,105252,77108,24414,-12947,-249983,-304286,-7169,-4349
1999-09-01,6088800,-467816,5620984,2321385,3437384,330032,596968,207768,-4059,1179283,343104,-1679,105856,78068,147726,2774006,258923,157495,99635,67775,23186,-13616,-259264,-193985,-6048,-4167
1999-10-01,6834784,-686688,6148096,1912452,4596640,325693,365883,213514,-7764,1042235,302475,-3891,76299,90776,160979,3460834,313145,477844,82683,67533,56601,-17318,-425505,-248432,-4998,-4827
1999-11-01,6318104,-505231,5812873,2184394,3823314,310397,578233,150358,-7825,1049661,427166,-13199,63685,105405,149626,3029920,269824,233796,83102,69486,51243,-19264,-274052,-218981,-5165,-2550
1999-12-01,6862855,-1168752,5694103,1866197,4485687,510971,364034,265776,-6995,612445,634260,-3323,226845,126921,161567,3451561,273333,413710,65333,75397,24969,-18991,-957681,-193446,-7845,-5134
2000-01-01,7863204,-373041,7490163,2477983,5050696,334523,4339,929820,-6380,172141,1382495,-4432,74796,92769,171464,4022630,350476,355581,71263,101429,108050,-80027,-225536,-122183,-13469,-6879
2000-02-01,7782240,-421943,7360297,2504026,4671984,606229,363724,238970,-6686,987264,923603,-2849,45228,243838,319653,3658159,374975,362326,70284,62444,40006,-12002,-298612,-106487,-6773,-3394
