indirect_tax_df_ Gross import VAT ,indirect_tax_df_ Gross local VAT ,indirect_tax_df_ VAT refund autonomy and traders ,indirect_tax_df_ Total net VAT ,indirect_tax_df_Net customs,indirect_tax_df_ Net import purchase tax ,indirect_tax_df_ Total import taxes ,indirect_tax_df_ Net local sales tax ,indirect_tax_df_ Gross fuel tax ,direct_tax_df_Total Gross Income Tax Division,direct_tax_df_ Total refunds from the Income Tax Department ,direct_tax_df_Total Income Tax Division Net,direct_tax_df_Income tax for self-employed individuals and companies (advances and deductions),direct_tax_df_Deductions and the capital market,direct_tax_df_Real estate taxation,direct_tax_df_Independents advances,direct_tax_df_Self-employed tax differences,direct_tax_df_Independent Cancellations,direct_tax_df_Companies advances,direct_tax_df_tax differential companies,direct_tax_df_Cancellation companies,direct_tax_df_Property tax,direct_tax_df_praise tax,direct_tax_df_Real estate purchase tax,direct_tax_df_Deduction from salary,direct_tax_df_Goods and services,direct_tax_df_Non-profit institution tax,direct_tax_df_VAT Financial Institutions (Salary),direct_tax_df_excess expenses,direct_tax_df_Bonds and dividends,direct_tax_df_Cancellations Deductions,direct_tax_df_Companies returns,direct_tax_df_self employed returns,direct_tax_df_ Capital Gains Tax Refunds ,direct_tax_df_ Purchase returns ,macro_monthly_df_CPI,macro_monthly_df_VAT,macro_monthly_df_cons_trust,macro_monthly_df_real_credit_card,macro_monthly_df_VAT_rate,"macro_monthly_df_ Unemployment rate (ages 25-64, in percentage points) ","macro_monthly_df_ Participation rate (ages 25-64, in percentage points) ",macro_monthly_df_ Employment rate (ages 25-64) ,macro_monthly_df_ Real Salary ,macro_monthly_df_ salaried jobs ,macro_monthly_df_Foreign exchange reserves in millions of dollars,macro_monthly_df_Apartment Price Index (1993=100) - Mid-period reviewed,macro_monthly_df_Credit card purchase value indices (total) (2002=100),macro_monthly_df_Industrial Production Index (Total),macro_monthly_df_The combined index of the state of the economy,macro_monthly_df_Apartments sold at an annual rate,Date
5089.0,9550.0,-5559.0,9080.0,168.0,2235.0,2403.0,96.0,2064.0,22220564.0,-1655672.0,20564892.0,9509002.0,10758119.0,1953443.0,744240.0,1529280.0,-24242.0,4743654.0,2561752.0,-45682.0,2194.0,719227.0,1239301.0,7988313.0,854555.0,1001296.0,155543.0,60061.0,402157.0,-21841.0,-943266.0,-542833.0,-56727.0,-54748.0,102.8,9080.0,125.7,449.0,17.0,3.5,82.1,79.2,10710.2,4032.75,196279.33,568.7,449.2,105.4,100.16,31560.0,2023-02-01
5496.0,10131.0,-5836.0,9791.0,198.0,2272.0,2470.0,79.0,2413.0,22359828.0,-1858588.0,20501240.0,9252715.0,11476414.0,1630700.0,1501074.0,1347276.0,-106305.0,4857095.0,1736162.0,-82587.0,682.0,674872.0,962089.0,8394887.0,868841.0,1199747.0,178577.0,71584.0,427636.0,-34085.0,-1144726.0,-575007.0,-62848.0,-45815.0,103.2,9791.0,128.0,441.4,17.0,3.1,81.8,79.3,11166.79,4026.58,200485.78,567.6,440.5,103.1,100.29,27576.0,2023-03-01
4613.0,9754.0,-3610.0,10757.0,126.0,1616.0,1742.0,111.0,2079.0,22090796.0,-1385470.0,20705326.0,7996928.0,13006551.0,1087317.0,854837.0,959338.0,-11865.0,5335919.0,874992.0,-16293.0,664.0,465117.0,626432.0,9665631.0,967825.0,1109172.0,268841.0,71022.0,380435.0,-25439.0,-935620.0,-347987.0,-50860.0,-33807.0,104.0,10757.0,126.6,443.8,17.0,3.0,81.2,78.8,11036.22,4002.71,201895.42,564.8,443.8,102.5,100.52,27732.0,2023-04-01
5650.0,10107.0,-5822.0,9935.0,180.0,2302.0,2482.0,23.0,2273.0,22430088.0,-2176825.0,20253263.0,8786549.0,12176681.0,1466859.0,1534942.0,1313967.0,-70602.0,5030097.0,1117146.0,-139001.0,1116.0,637318.0,833125.0,8497580.0,880169.0,1140000.0,138517.0,70291.0,1025759.0,-21818.0,-1340228.0,-686079.0,-59976.0,-61791.0,104.2,9935.0,121.5,449.0,17.0,3.1,81.8,79.2,10973.43,4024.87,199621.09,561.4,449.0,100.8,100.91,28608.0,2023-05-01
4944.0,8968.0,-5492.0,8420.0,110.0,1846.0,1956.0,36.0,2491.0,20221964.0,-1966967.0,18254997.0,8182299.0,10801605.0,1238060.0,929354.0,1093857.0,-19492.0,5051842.0,1161307.0,-34569.0,5597.0,583108.0,659568.0,7453648.0,1064405.0,1066900.0,130390.0,62554.0,526625.0,-16971.0,-902006.0,-871298.0,-59492.0,-54292.0,104.2,8420.0,125.1,448.5,17.0,3.3,81.6,78.9,10956.86,4023.53,201875.75,560.3,448.4,99.0,101.1,29508.0,2023-06-01
5355.0,10957.0,-4487.0,11825.0,135.0,2097.0,2232.0,21.0,2495.0,23442165.0,-2122449.0,21319716.0,9074927.0,13069865.0,1297374.0,1546066.0,1187716.0,-45876.0,5152762.0,1248479.0,-14220.0,6261.0,555003.0,742964.0,9263295.0,1002487.0,1525123.0,148624.0,80344.0,478989.0,-24777.0,-1044882.0,-901469.0,-89049.0,-54677.0,104.5,11825.0,126.3,449.2,17.0,3.0,81.6,79.1,11012.77,4000.57,204664.86,559.2,449.2,99.1,101.31,29424.0,2023-07-01
5476.0,9299.0,-5376.0,9399.0,105.0,1832.0,1937.0,37.0,2423.0,20779497.0,-2071899.0,18707598.0,8277986.0,11224946.0,1276564.0,958420.0,1292428.0,-12769.0,5087923.0,966133.0,-14149.0,631.0,505765.0,777130.0,8050383.0,846684.0,1162744.0,150963.0,78234.0,544661.0,-22636.0,-885314.0,-1011066.0,-77429.0,-41250.0,97.77,9399.0,125.7,468.1,17.0,2.8,81.5,79.2,11053.35,4025.63,202856.43,558.6,467.6,104.7,101.49,37284.0,2023-08-01
4544.0,11084.0,-5128.0,10500.0,98.0,1344.0,1442.0,32.0,2238.0,21467214.0,-1543333.0,19923881.0,8095997.0,12372854.0,998363.0,1577072.0,821828.0,-13713.0,4822731.0,902483.0,-14404.0,416.0,378114.0,625730.0,8572176.0,1328066.0,1139419.0,221096.0,79036.0,401522.0,-16513.0,-689349.0,-743488.0,-49746.0,-33101.0,97.67,10500.0,127.9,454.6,17.0,3.0,81.3,78.9,11108.34,4023.53,198552.5,557.5,455.0,100.8,100.7,34152.0,2023-09-01
5124.0,7620.0,-3949.0,8795.0,127.0,1785.0,1912.0,26.0,1915.0,18983509.0,-2342512.0,16640997.0,6722938.0,11119895.0,1140675.0,748739.0,901238.0,-21500.0,4530866.0,594090.0,-30495.0,656.0,506935.0,641813.0,7837759.0,785182.0,1177622.0,151663.0,69775.0,538901.0,-37710.0,-1290498.0,-925977.0,-65433.0,-32702.0,98.14,8795.0,122.5,384.7,17.0,2.8,81.2,78.8,11079.4,3962.48,191235.37,554.7,384.9,94.7,97.98,12252.0,2023-10-01
4526.0,9658.0,-4297.0,9887.0,84.0,1170.0,1254.0,28.0,1929.0,18826956.0,-1887161.0,16939795.0,6775616.0,11130570.0,920769.0,1352479.0,791042.0,-140349.0,4196204.0,603796.0,-27556.0,1150.0,358116.0,568918.0,7897951.0,1122623.0,1062792.0,153690.0,78998.0,440997.0,-17203.0,-914958.0,-833481.0,-60970.0,-44445.0,97.86,9887.0,126.6,411.0,17.0,2.7,80.5,78.3,11426.96,3830.87,198169.02,558.6,411.3,97.1,97.49,18384.0,2023-11-01
5109.0,8889.0,-5158.0,8840.0,301.0,3001.0,3302.0,34.0,2110.0,19511321.0,-1551667.0,17959654.0,7544386.0,11132907.0,834029.0,857229.0,1094821.0,-24520.0,3650848.0,1989492.0,-23484.0,1593.0,336232.0,501205.0,7587189.0,884031.0,1227930.0,152944.0,76509.0,793379.0,-34067.0,-744526.0,-681385.0,-48722.0,-48929.0,97.77,8840.0,125.0,461.2,17.0,2.7,80.4,78.3,11381.32,3898.92,204693.95,564.7,461.4,94.2,98.06,30264.0,2023-12-01
4513.0,12388.0,-3959.0,12942.0,112.0,1634.0,1746.0,29.0,2340.0,30254100.0,-2110529.0,28143571.0,14420468.0,14455514.0,1378118.0,7614.0,3747161.0,-47830.0,408546.0,10364371.0,-59393.0,2545.0,640472.0,740239.0,9642482.0,1242252.0,1088422.0,136079.0,167069.0,1494267.0,-52175.0,-1233617.0,-742568.0,-45431.0,-42671.0,97.77,12942.0,123.9,481.0,17.0,3.0,80.5,78.0,11308.71,3942.79,206125.26,569.2,481.1,98.1,98.86,45888.0,2024-01-01
5058.0,10146.0,-4538.0,10666.0,105.0,1651.0,1756.0,25.0,2262.0,21870690.0,-2290368.0,19580322.0,8971095.0,11583009.0,1316586.0,734956.0,1583223.0,-29784.0,4589345.0,2133577.0,-40222.0,866.0,458005.0,863156.0,8461815.0,888512.0,959107.0,159555.0,65545.0,432524.0,-24760.0,-1454577.0,-654055.0,-80625.0,-54224.0,98.14,10666.0,123.5,469.9,17.0,3.0,80.7,78.3,11376.7,3985.74,206820.84,574.3,470.2,96.4,99.04,45672.0,2024-02-01
5069.0,11064.0,-4860.0,11273.0,132.0,1697.0,1829.0,26.0,2484.0,23880721.0,-2058984.0,21821737.0,9580517.0,12996958.0,1303246.0,1485217.0,1231139.0,-87776.0,4901184.0,2089590.0,-38836.0,1284.0,539385.0,766451.0,9548986.0,895312.0,1262507.0,150831.0,66362.0,509363.0,-36310.0,-1377604.0,-538149.0,-62654.0,-36029.0,98.7,11273.0,127.6,477.1,17.0,3.0,80.8,78.4,11302.97,3987.48,213741.01,574.9,475.4,94.9,99.25,45756.0,2024-03-01
4580.0,4371.0,-4021.0,4930.0,92.0,1720.0,1812.0,23.0,2256.0,23785187.0,-1473149.0,22312038.0,8345888.0,14296179.0,1143120.0,837295.0,1129451.0,-23775.0,5273000.0,1185737.0,-55820.0,853.0,376593.0,768653.0,10651959.0,908567.0,1062677.0,275183.0,70137.0,527471.0,-8824.0,-964630.0,-415275.0,-29365.0,-41110.0,99.53,4930.0,126.7,472.8,17.0,3.0,81.1,78.6,11266.44,4010.91,208108.75,579.5,472.5,97.8,99.11,46644.0,2024-04-01
5180.0,16587.0,-4778.0,16989.0,136.0,2127.0,2263.0,24.0,2400.0,24170708.0,-2414900.0,21755808.0,9462109.0,13225697.0,1482902.0,1738056.0,1702405.0,-37494.0,5015204.0,1122945.0,-79006.0,719.0,559330.0,928021.0,8787727.0,1681530.0,997340.0,190243.0,69526.0,678702.0,-46724.0,-1401586.0,-880798.0,-46033.0,-40858.0,99.72,16989.0,120.3,476.2,17.0,3.0,80.9,78.5,11328.33,4010.76,210509.91,583.6,476.0,98.3,99.08,46620.0,2024-05-01
4570.0,10964.0,-5227.0,10307.0,118.0,1929.0,2047.0,35.0,2496.0,22203526.0,-2260803.0,19942723.0,8356895.0,12511419.0,1335212.0,1181723.0,1034028.0,-11472.0,5182406.0,1009733.0,-39523.0,1383.0,463559.0,881539.0,8429085.0,1296988.0,1178941.0,173183.0,65570.0,523270.0,-14475.0,-1317536.0,-820423.0,-40397.0,-40921.0,99.81,10307.0,121.2,480.4,17.0,2.8,80.8,78.6,11290.82,4013.3,210280.51,587.1,480.4,98.5,98.94,46440.0,2024-06-01
5756.0,11739.0,-5068.0,12427.0,116.0,2212.0,2328.0,28.0,2652.0,26322906.0,-3468742.0,22854164.0,9924942.0,14791143.0,1606821.0,1596132.0,1341295.0,-48094.0,5404810.0,1682662.0,-51864.0,1867.0,576376.0,1035680.0,10262827.0,1028582.0,1275653.0,152551.0,73475.0,600130.0,-34027.0,-2150779.0,-1100206.0,-134732.0,-27679.0,100.37,12427.0,124.2,491.6,17.0,2.6,80.7,78.6,11271.71,4033.87,213634.37,591.8,491.6,99.6,99.03,48528.0,2024-07-01
5049.0,9879.0,-4770.0,10158.0,125.0,2153.0,2278.0,31.0,2580.0,23514998.0,-2224597.0,21290401.0,8881980.0,13168840.0,1464178.0,1133072.0,982147.0,-142146.0,5950153.0,982061.0,-23306.0,1173.0,505891.0,965787.0,9129968.0,1045465.0,1353683.0,151484.0,68491.0,480431.0,-142675.0,-1008054.0,-1030473.0,-79462.0,-44205.0,101.3,10158.0,124.4,472.5,17.0,2.5,80.5,78.4,11112.54,4019.7,217384.54,593.0,472.0,100.0,98.7,44808.0,2024-08-01
5382.0,12032.0,-4029.0,13385.0,118.0,1997.0,2115.0,25.0,2724.0,23238768.0,-2017410.0,21221358.0,9223729.0,12536391.0,1478648.0,1641895.0,956801.0,-19777.0,5696288.0,982619.0,-34096.0,945.0,535850.0,948202.0,8710488.0,1139673.0,1134255.0,162615.0,73949.0,403200.0,-65201.0,-930836.0,-956126.0,-59013.0,-33060.0,101.12,13385.0,126.9,480.5,17.0,2.5,80.5,78.4,11151.53,4077.28,220377.38,592.4,480.9,99.8,98.86,41688.0,2024-09-01
5291.0,10113.0,-3738.0,11666.0,122.0,1792.0,1914.0,33.0,2423.0,22358171.0,-1472766.0,20885405.0,8651707.0,12431164.0,1275300.0,1026697.0,900708.0,-58802.0,5711302.0,1082246.0,-10445.0,861.0,465174.0,812934.0,8640453.0,941802.0,1151882.0,152580.0,76910.0,646700.0,-57400.0,-653961.0,-731068.0,-36035.0,-30540.0,101.58,11666.0,124.9,485.6,17.0,2.5,80.5,78.5,11273.0,4039.82,216074.23,593.6,486.0,100.0,98.89,40524.0,2024-10-01
5145.0,11439.0,-5525.0,11059.0,133.0,1988.0,2121.0,29.0,2261.0,23599157.0,-1808876.0,21790281.0,9350523.0,12670193.0,1578441.0,1720385.0,809501.0,-30273.0,5745659.0,1152690.0,-47439.0,1725.0,511678.0,1069964.0,8782156.0,1226461.0,1102552.0,136258.0,75819.0,631954.0,-26476.0,-800437.0,-762172.0,-54116.0,-47704.0,101.21,11059.0,124.1,495.4,17.0,2.6,80.7,78.6,11222.13,4064.05,217100.46,596.6,495.9,100.3,99.18,37080.0,2024-11-01
7596.0,10103.0,-4941.0,12758.0,452.0,5423.0,5875.0,38.0,2636.0,24478941.0,-2005037.0,22473904.0,8884258.0,14101417.0,1493266.0,1634862.0,1701034.0,-23656.0,3812494.0,1783485.0,-23961.0,11681.0,540901.0,944984.0,8501925.0,1439864.0,1262439.0,135117.0,74030.0,1732384.0,-40451.0,-1008726.0,-849787.0,-52383.0,-44149.0,100.93,12758.0,123.9,509.4,17.0,2.5,80.5,78.5,11439.28,4080.21,214570.02,599.0,509.7,105.1,100.05,58596.0,2024-12-01
5292.0,16738.0,-5092.0,16938.0,89.0,1300.0,1389.0,36.0,2542.0,46169561.0,-2650218.0,43519343.0,18925525.0,25385959.0,1858078.0,14626.0,5571084.0,-102024.0,143947.0,13346338.0,-48446.0,975.0,695938.0,1166666.0,11933758.0,2679560.0,1112230.0,148074.0,164217.0,8251756.0,-232575.0,-1534989.0,-941950.0,-64714.0,-43691.0,101.5,16938.0,123.4,501.8,18.0,2.5,81.1,79.1,11115.75,4082.37,216068.4,606.2,501.9,99.7,100.33,38784.0,2025-01-01
4902.0,11354.0,-5354.0,10902.0,97.0,1611.0,1708.0,18.0,2242.0,26272572.0,-2473465.0,23799107.0,11347667.0,12801393.0,2123512.0,749272.0,1784915.0,-27541.0,5534635.0,3430811.0,-124425.0,701.0,928319.0,1201344.0,9205642.0,1134195.0,1249833.0,144825.0,68987.0,274666.0,-388074.0,-1624679.0,-683914.0,-61898.0,-43301.0,101.5,10902.0,128.7,505.4,18.0,2.6,80.7,78.6,11228.72,4063.84,220254.3,,505.7,101.4,100.66,37152.0,2025-02-01
5913.0,11896.0,-5286.0,12523.0,127.0,2294.0,2421.0,56.0,2535.0,27543981.0,-3046495.0,24497486.0,10970388.0,14819584.0,1754009.0,1713334.0,1157861.0,-20715.0,6558905.0,1586250.0,-25247.0,514.0,702259.0,1060017.0,10475358.0,1470596.0,1409695.0,156387.0,69986.0,263867.0,-44417.0,-2167639.0,-693069.0,-73482.0,-43468.0,102.0,12174.0,,,18.0,,,,,,,,507.0,,100.91,,2025-03-01
5412.0,10730.0,-5068.0,11074.0,128.0,2141.0,2269.0,23.0,2400.0,27094900.0,-1949229.0,25145671.0,9188097.0,16263947.0,1642855.0,959446.0,797317.0,-15468.0,5856762.0,1604485.0,-14445.0,670.0,681703.0,966067.0,11839209.0,1555134.0,1091275.0,250292.0,73459.0,349817.0,-29500.0,-1126929.0,-626756.0,-60656.0,-53981.0,,,,,,,,,,,,,,,,,2025-04-01
